"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"364","6036--лишать--лишать.eaf","лишать","Type 2","1-st/2-nd","straight","","pointed","flexed","","ulnar/back","1-st/2-nd","straight","","pointed","flexed","radial"
"365","6050--пустыня--пустыня.eaf","ровный","Type 2","all","straight","","pointed","","ulnar","radial","all","straight","","pointed","","ulnar"
"366","6070--отчаяться--отчаяться.eaf","отчаяться","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"367","6083--разъединять отделять--разъединять отделять.eaf","отделять","Type 2","all","straight","","pointed","","palm/back","ulnar","all","straight","","pointed","","back"
"368","6084--отдельный--отдельный.eaf","отдельный","Type 2","all","straight","","pointed","","back","palm","all","straight","","pointed","","back"
"369","6087--подробный--подробный.eaf","подробный","Type 2","1-st","curved","closed","","straight","back","palm","1-st","curved","closed","","straight","palm"
"370","6094--ухудшаться--ухудшаться.eaf","ухудшаться","Type 2","all","straight","","pointed","","palm","radial","all","straight","","pointed","","palm"
"371","6145--нарезать кубиками--нарезать кубиками.eaf","нарезать3","Type 2","all","straight","","pointed","","ulnar/back","ulnar","all","straight","","pointed","","palm"
"372","616--е-коммерция--MVI_1013.eaf","коммерция","Type2","all","straight","","wide","","","root","all","straight","","pointed","","back"
"373","6210--диплом--диплом.eaf","диплом","Type 3","all","fist","","","","palm","palm","all","straight","","pointed","","palm"
"374","6250--рассоединять--рассоединять.eaf","рассоединять","Type 3","1-st","curved_around","","","flexed","root","tips","all","straight","","pointed","","palm"
"375","6256--обнаруживать--обнаруживать.eaf","обнаруживать","Type 3","2-nd","curved","open","","straight","palm","palm","all","fist","","","","back"
"376","6273--чувствовать отвращение--чувствовать отвращение.eaf","","Type 3","1-st/2-nd","curved","","wide","flexed","tips","tips","all","straight","","pointed","","palm"
"377","6283--мытье посуды--мытье посуды.eaf","мыть посуду","Type 3","all","fist","","","","","palm","all","straight","","pointed","","palm"
"378","6304--оспаривать--оспаривать.eaf","","Type 2","all","fist","","","","radial","palm","all","fist","","","","palm"
"379","6306--неуважение--неуважение.eaf","","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"380","6318--выделять--выделять.eaf","","Type 3","1-st","straight","","","flexed","back","tips","all","straight","","pointed","","palm"
"381","6332--беспокоить--беспокоить.eaf","беспокоить1","Type 3","1-st","curved","","","flexed","tips","tips","all","straight","","pointed","","palm"
"382","6332--беспокоить--беспокоить.eaf","беспокоить2","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"383","6342--разделять--2.eaf","","Type 3","all","bent","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"384","6342--разделять--2.eaf","","Type 2","all","straight","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"385","6348--трамплин для прыжков в воду--трамплин для прыжков в воду.eaf","трамплин","Type 2","1-st/2-nd","straight","","pointed","flexed","","palm","1-st/2-nd","straight","","pointed","flexed","back"
"386","6401--доминировать--доминировать.eaf","доминировать","Type 3","thumb","straight","","","flexed","tips","ulnar","all","straight","","pointed","","palm"
"388","6430--двойной клик--двойной клик.eaf","два раза","Type 3","1-st/2-nd","straight","","wide","flexed","ulnar","back","all","fist","","","","back"
"389","6465--рисовать--рисовать.eaf","рисовать","Type 3","1-st/2-nd","straight","","pointed","flexed","root","back","all","straight","","pointed","","palm"
"390","6466--ничья--ничья.eaf","ничья","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"391","6515--выбыть, отсеяться--выбыть, отсеяться.eaf","выбывать","Type 3","1-st/2-nd","curved","","wide","flexed","back/palm","palm","all","straight","","pointed","","palm"
"392","6519--засуха--засуха.eaf","засуха","Type 2","all","fist","","","","radial","palm","all","fist","","","","palm"
"393","6520--утонуть--утонуть.eaf","утонуть","Type 3","1-st/2-nd","straight","","wide","flexed","root","back","all","straight","","pointed","","palm"
"394","6588--каждый--каждый.eaf","каждый","Type 2","thumb","straight","","","flexed","ulnar","palm","thumb","straight","","","flexed","palm"
"395","6605--зарабатывать--зарабатывать.eaf","зарабатывать","Type 3","all","curved","","wide","","ulnar","back","all","straight","","pointed","","palm"
"396","6616--восток--восток.eaf","восток","Type 3","1-st","curved","closed","","straight","back","radial","all","straight","","pointed","","ulnar"
"397","6649--обучать--обучать.eaf","обучать","Type 3","1-st/2-nd","bent","closed","","flexed","palm","palm","all","straight","","pointed","","radial"
"398","6720--электричествo--электричествo.eaf","электричество","Type 3","thumb","straight","","","straight","radial","radial","all","straight","","pointed","","palm"
"401","6766--сбежать--сбежать.eaf","сбежать2","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
"403","6848--гравировать--гравировать.eaf","гравировать","Type 3","thumb","straight","","","flexed","radial","palm","all","straight","","pointed","","palm"
"404","6864--активный--активный.eaf","активный","Type 2","all","straight","","pointed","","back","back","all","straight","","pointed","","palm"
"406","6874--конверт--конверт.eaf","","Type 2","all","straight","","pointed","","","back","all","straight","","pointed","","palm"
"407","6916--ластик--ластик.eaf","ластик","Type 3","1-st/2-nd","bent","closed","","flexed","ulnar","palm","all","straight","","pointed","","palm"
"408","6922--вкладыш с опечатками--вкладыш с опечатками.eaf","вкладывать","Type 3","all","straight","","pointed","","ulnar","back","all","straight","open","pointed","","palm"
"409","6937--основывать--основывать.eaf","основывать","Type 3","thumb","straight","","","flexed","radial/ulnar","ulnar","all","straight","","pointed","","palm"
"410","6946--и т.д.--.eaf","и т.д.","Type 2","all","straight","","wide","","root","tips","all","straight","","wide","","tips"
"411","6975--ровный--MVI_6809.eaf","ровный","Type 2","all","straight","","pointed","","ulnar","radial","all","straight","","pointed","","radial"
"412","6978--вечер--MVI_6812.eaf","вечер","Type 3","all","bent","","pointed","","palm","palm","all","straight","","pointed","","back"
"413","6983--когда-нибудь--MVI_6818.eaf","когда-нибудь","Type 2","all","straight","","pointed","","back","palm","all","straight","","pointed","","back"
"414","6996--вызывать--MVI_6834.eaf","вызывть","Type 2","all","straight","","pointed","","palm","tips","all","straight","","pointed","","palm"
"415","7028--исключать--MVI_6870.eaf","","Type 3","1-st","straight","","","flexed","ulnar","ulnar","all","straight","","pointed","","palm"
"416","7030--исключительный--MVI_6872.eaf","исключительный","Type 2","thumb","straight","","","flexed","tips","radial","thumb","straight","","","flexed","radial"
"417","7043--тетрадка для упражнений--MVI_6892.eaf","тетрадка","Type 3","1-st","straight","","","flexed","palm","ulnar","all","straight","","pointed","","palm"
"418","7058--существовать--MVI_6910.eaf","существовать","Type 2","all","straight","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"419","7092--эксплуатация--MVI_6952.eaf","эксплуатация","Type 3","1-st","curved","closed","","straight","back/ulnar","palm","all","straight","","pointed","","back"
"421","712--тонкопорезанная жареная картошка--MVI_1111.eaf","нарезать1","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
"422","712--тонкопорезанная жареная картошка--MVI_1111.eaf","жарить","Type 2","all","straight","","pointed","","palm/back","palm/back","all","straight","","pointed","","palm"
"423","7129--грузовой винт--MVI_6996.eaf","","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"424","7155--провал--MVI_7029.eaf","провал","Type 3","1-st/2-nd","straight","","pointed","flexed","root","back","all","straight","","pointed","","palm"
"425","7166--падать--MVI_7041.eaf","падать","Type 3","1-st/2-nd","straight","","wide","flexed","back","back","all","straight","","pointed","","palm"
"426","7188--фанат--MVI_7068.eaf","","Type 3","2-nd","bent","","","straight","palm","palm","all","straight","","pointed","","back"
"427","7197--далекий--MVI_7077.eaf","далекий","Type 2","all","bent","","pointed","","back","palm","all","bent","","pointed","","back"
"428","7211--фашизм--MVI_7095.eaf","фашизм","Type 2","1-st","curved","","","flexed","back","back","1-st","curved","","","flexed","back"
"429","7219--быстрый--MVI_9012.eaf","быстрый","Type 2","1-st","straight","","","flexed","ulnar","palm","1-st","straight","","","flexed","back"
"431","7255--кормить--MVI_7150.eaf","кормить","Type 3","1-st","curved_around","","","flexed","tips","tips","all","straight","","pointed","","palm"
"432","7258--чувствовать--MVI_7154.eaf","чувствовать","Type 3","1-st","straight","","","flexed","tips","tips","all","fist","","","","back"
"434","7416--рыбак--MVI_7365.eaf","рыбак","Type 3","1-st","straight","","","flexed","radial/ulnar","ulnar","all","fist","","","","radial"
"435","7485--план, план-чертеж--MVI_7472.eaf","чертеж, план","Type 3","1-st/2-nd","straight","","wide","flexed","","tips","all","straight","","pointed","","palm"
"436","7529--складывать--MVI_7532.eaf","стопка","Type 2","all","straight","","pointed","","back","palm","all","straight","","pointed","","palm"
"437","7530--папка--MVI_7533.eaf","папка","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"438","7551--ступня--MVI_7556.eaf","ступня","Type 2","all","straight","","pointed","","","palm","all","straight","","pointed","","palm"
"439","7553--футбол--MVI_7558.eaf","футбол","Type 3","all","curved","","pointed","","back","back","all","straight","","pointed","","palm"
"440","7562--бесплатно--MVI_7568.eaf","бесплатно","Type 2","all","straight","","pointed","","radial/ulnar","palm","all","straight","","pointed","","palm"
"441","7565--запрещать--MVI_7573.eaf","запрещать","Type 3","1-st","straight","","","flexed","ulnar","ulnar","all","fist","","","","back"
"442","7586--вилка--MVI_7599.eaf","вилка","Type 3","1-st/2-nd/3-rd","straight","","wide","flexed","tips","tips","all","straight","","pointed","","palm"
"443","7661--рисунок от руки--MVI_7694.eaf","рисунок","Type 3","1-st","curved","closed","","straight","root","palm","all","straight","","pointed","","palm"
"444","7673--частый--MVI_7714.eaf","частый","Type 2","all","straight","","pointed","","ulnar/back","radial","all","straight","","pointed","","palm"
"445","7702--перед--MVI_7751.eaf","перед","Type 2","all","bent","","pointed","","palm","back","all","bent","","pointed","","palm"
"447","7786--чеснок--MVI_7857.eaf","чеснок","Type 3","1-st/2-nd","bent","closed","","flexed","ulnar","palm","all","straight","","pointed","","radial"
"448","7790--гарото--MVI_7863.eaf","добавить2","Type 3","1-st","curved","closed","","flexed","palm","palm","all","curved","closed","","","radial"
"449","7941--перчатка--MVI_8053.eaf","перчатка","Type 3","1-st","straight","","","flexed","ulnar/back","ulnar","all","straight","","wide","","tips"
"450","7950--входить--MVI_8067.eaf","входить","Type 2","all","straight","","pointed","","tips","ulnar","all","straight","","pointed","","back"
"452","7955--гол--MVI_8075.eaf","гол","Type 2","1-st","straight","","","flexed","tips","tips","1-st","straight","","","flexed","radial"
"453","7964--черт возьми--MVI_8085.eaf","","Type 3","all","bent","","pointed","","back","back","all","straight","","pointed","","palm"
"454","8009--длинное платье, халат--MVI_8142.eaf","длинный","Type 2","1-st","straight","","","flexed","ulnar","tips","1-st","straight","","","flexed","tips"
"455","8023--постепенный--MVI_8162.eaf","постепенный","Type 3","all","bent","","pointed","","back","ulnar","all","straight","","pointed","","back"
"457","8062--натирать на терке--MVI_8207.eaf","натирать, терка","Type 3","all","fist","","","","ulnar","palm","all","straight","","pointed","","palm"
"459","8201--половина--MVI_8410.eaf","половина","Type 2","1-st","straight","","","flexed","root","ulnar","1-st","straight","","","flexed","radial"
"460","8284--вред--MVI_8514.eaf","вред","Type 2","1-st/2-nd","straight","","pointed","flexed","back","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"461","8297--штриховать--MVI_8531.eaf","штриховать","Type 2","all","straight","","pointed","","","tips","all","straight","","pointed","","palm"
"462","8341--справка о состоянии здоровья--MVI_8586.eaf","","Type 3","1-st/2-nd","straight","","pointed","flexed","","tips","all","straight","","pointed","","palm"
"464","8394--вертолет--MVI_8691.eaf","вертолет","Type 3","all","straight","","wide","","tips","palm","thumb","straight","","","flexed","tips"
"465","8424--селёдка--MVI_8728.eaf","селедка","Type2","1-st","curved","closed","","straight","ulnar","palm","1-st","curved","closed","","flexed","radial"
"466","8436--прятать--MVI_8745.eaf","прятать","Type 3","all","bent","closed","","","palm","palm","all","straight","","pointed","","palm"
"467","8488--хоккей--MVI_8815.eaf","хоккей","Type 3","1-st","curved","","","flexed","ulnar/radial","back","all","straight","","pointed","","palm"
"468","8577--госпитализация--MVI_8921.eaf","госпитализация","Type 3","1-st/2-nd","straight","","wide","flexed","tips","back","all","straight","","pointed","","palm"
"469","8620--унижение--MVI_8975.eaf","унижение","Type 3","all","straight","","pointed","","palm","palm","thumb","straight","","","flexed","tips"
"470","8668--планшет--MVI_9184 - копия.eaf","планшет","Type 3","2-nd","bent","","","straight","","palm","all","straight","","pointed","","palm"
"471","8679--скребок--MVI_9199.eaf","скребок","Type 3","all","bent","","pointed","","palm","tips","all","straight","","pointed","","palm"
"472","8714--пиратский обмен файлами--MVI_9241.eaf","","Type 3","1-st/2-nd","straight","","pointed","flexed","root","radial","all","straight","","pointed","","palm"
"473","8717--безграмотный--MVI_9244.eaf","безграмотный","Type 3","2-nd","bent","","","straight","","palm","all","straight","","pointed","","palm"
"474","8718--болезнь--MVI_9245.eaf","болезнь","Type 3","1-st","curved","closed","","straight","palm","palm","all","straight","","pointed","","back"
"475","8748--выполнять--MVI_9288.eaf","выполнить","Type 2","all","straight","","pointed","","tips","palm","all","straight","","pointed","","radial"
"476","8797--стимул, мотивация--MVI_9354.eaf","стимул","Type 3","thumb","straight","","","flexed","radial","ulnar","all","straight","","pointed","","palm"
"477","8826--указывать--MVI_9396.eaf","указывать","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"478","8829--безразличие--MVI_9400.eaf","безразличие","Type 2","all","curved","","wide","","ulnar","tips","all","curved","","wide","","tips"
"480","8879--проникать--MVI_9481.eaf","","Type 3","1-st","straight","","","flexed","tips","radial","all","straight","","pointed","","palm"
"481","888--Как туда попасть--MVI_1332.eaf","попасть","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"482","8921--чернильница--MVI_9541.eaf","","Type 3","1-st","curved","","","flexed","palm","palm","all","curved","open","pointed","","radial"
"483","893--Насколько это далеко--MVI_1338.eaf","примерно","Type 2","all","straight","","pointed","","back","back","all","straight","","pointed","","palm"
"484","8943--настаивать--MVI_9570.eaf","настаивать","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"485","8944--проверять--MVI_9571.eaf","проверять","Type 2","1-st","curved_around","","","flexed","palm","radial","1-st","curved_around","","","flexed","radial"
"486","8972--неопределенный, неуловимый--MVI_9613.eaf","","Type 2","all","straight","","pointed","","","back/palm","all","straight","","pointed","","back"
"487","898--Поезд здесь долго стоит--MVI_1344.eaf","долго","Type 3","all","straight","","pointed","","palm","tips","all","fist","","","","back"
"488","9001--вмешиваться--MVI_9660.eaf","","Type 3","1-st","straight","","","flexed","tips","radial","all","straight","","pointed","","palm"
"489","9041--знакомить--MVI_9715.eaf","знакомить","Type 2","all","curved","","pointed","","palm","palm","all","curved","","pointed","","palm"
"490","9047--неизменяемый--MVI_9721.eaf","","Type 3","3-rd","curved","closed","","straight","palm","palm","all","straight","","pointed","","palm"
"491","9059--инвестиция ; вложение--MVI_9736.eaf","вложение","Type 2","all","straight","","pointed","","tips","palm","all","straight","","pointed","","palm"
"492","9073--утюг--MVI_9756.eaf","утюг","Type 3","thumb/4-th","straight","","","flexed","radial/ulnar","tips","all","straight","","pointed","","palm"
"493","9092--это(т) (та)--MVI_9779.eaf","это","Type 2","1-st","straight","","","flexed","palm","back/palm","1-st","straight","","","flexed","back"
"494","9103--банка--MVI_9793.eaf","банка","Type 3","all","straight","open","pointed","","palm","palm","all","straight","","pointed","","palm"
"495","9105--увесилительная прогулка--MVI_9796.eaf","прогулка","Type 2","all","straight","","pointed","","palm/back","ulnar","all","straight","","pointed","","back"
"496","911--Сколько стоит книга--MVI_1358.eaf","книга","Type 2","all","straight","","pointed","","","ulnar","all","straight","","pointed","","palm"
"497","9133--безработный--MVI_9830.eaf","безработный","Type 3","thumb","straight","","","flexed","","radial","all","straight","","pointed","","palm"
"499","9215--убить--MVI_9958.eaf","убить","Type 3","all","fist","","","","palm","radial","all","straight","","pointed","","palm"
"500","9224--добрый--MVI_9971.eaf","добрый","Type 3","all","bent","","pointed","","radial","palm","all","fist","","","","back"
"501","9234--поцелуй--MVI_9983.eaf","","Type 2","1-st/2-nd","straight","","pointed","flexed","palm","palm","1-st/2-nd","straight","","pointed","flexed","palm"
"503","9251--нож--MVI_0013.eaf","нож","Type 2","1-st/2-nd","straight","","pointed","flexed","tips","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"504","9281--недостаток, нехватка--недостаток, нехватка.eaf","недостаток","Type 3","all","curved","","wide","","root","palm","all","straight","","pointed","","palm"
"505","9316--продолжаться--продолжаться.eaf","продолжаться","Type 2","all","straight","","pointed","","palm/root","palm","all","straight","","pointed","","palm"
"506","9319--поздно--поздно.eaf","поздно","Type 3","all","bent","","pointed","","back","ulnar","all","straight","","pointed","","back"
"507","9321--токарный станок--токарный станок.eaf","станок","Type 3","1-st","curved","","","flexed","ulnar","back","1-st","straight","","","flexed","radial"
"509","9375--недоговорить, оставить недосказанным--недоговорить, оставить недосказанным.eaf","прерывать","Type 2","1-st/2-nd","straight","","pointed","flexed","","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"510","9403--длина--длина.eaf","длина","Type 2","1-st","straight","","","flexed","back","palm","1-st","straight","","","flexed","palm"
"511","9438--лицензирование--лицензирование.eaf","лицензирование","Type 3","1-st/2-nd","straight","","pointed","flexed","","palm/tips","all","straight","","pointed","","palm"
"512","9441--лежать--лежать.eaf","лежать","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"513","952--Я подаю заявку на оформление кредитной карты.--MVI_1395.eaf","кредитная.карта","Type 3","all","bent","closed","","","ulnar","palm","all","straight","","pointed","","ulnar"
"514","9520--маленький--маленький.eaf","маленький","Type 2","all","bent","","pointed","","palm","palm","all","bent","","pointed","","palm"
"515","9546--запирать--запирать.eaf","запирать","Type 3","1-st","curved_around","","","flexed","palm","tips","all","straight","","pointed","","palm"
"516","9579--потерять--.eaf","потерять","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","palm","1-st/2-nd","straight","","pointed","flexed","radial"
"518","9592--любовник--любовник.eaf","любовник","Type 2","thumb/4-th","straight","","","flexed","palm","palm","thumb/4-th","straight","","","flexed","palm"
"519","9629--шитье на машинке--шитье на машинке.eaf","шить на машинке","Type 3","all","straight","","wide","flexed","radial","tips","all","straight","","wide","","palm"
"520","9634--журнал--журнал.eaf","журнал","Type 3","1-st","straight","","","flexed","palm","ulnar","all","straight","","pointed","","palm"
"521","9661--основной--основной.eaf","основной","Type 3","thumb","straight","","","flexed","ulnar","ulnar","all","straight","","pointed","","palm"
"522","9714--мандарин--мандарин.eaf","мандарин","Type 3","all","curved","open","pointed","","","radial/palm","all","curved","open","wide","","back"
"524","9758--маркер--MVI_0765.eaf","маркер","Type 3","1-st/2-nd","straight","","pointed","flexed","back","tips","all","straight","","pointed","","palm"
"525","9770--жениться--MVI_0782.eaf","жениться","Type 3","1-st","curved","closed","","straight","radial","palm","all","straight","","pointed","","back"
"526","9782--пюре--MVI_0796.eaf","пюре","Type 3","all","fist","","","","ulnar/root","ulnar","all","straight","","pointed","","palm"
"527","9839--измерять--MVI_0873.eaf","измерять","Type 2","1-st","curved","closed","","straight","ulnar","radial","1-st","curved","closed","","straight","radial"
"528","9844--измерительный прибор--MVI_0880.eaf","измерительный прибор2","Type 3","1-st","straight","","","flexed","","radial","all","curved","open","pointed","","radial"
"529","9848--рулетка для измерения--MVI_0885.eaf","рулетка","Type 3","1-st","curved_around","","","flexed","root","tips","all","curved","open","pointed","","palm"
"530","991--Я плохо знаю твой жестовый язык--MVI_1425.eaf","жестовый.язык","Type 2","all","straight","","wide","","","palm","all","straight","","wide","","palm"
"532","9939--металл--MVI_1009.eaf","металл","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"4","10062--модель--MVI_1212.eaf","копировать","Type 3","all","straight/bent","open-closed","pointed","","back","palm","all","straight","","pointed","","palm"
